SMILES	FunctionalGroups
[Br].CCSc1ccccn1	NO_MATCH
[Fe++].CC(O)C([O-])=O.CC(O)C([O-])=O	Carboxylic Acid, Alcohol, Carbonyl
[H+].[Cl-].C1CCNC1	Amine
[H+].[Cl-].NCCCC(N)C(O)=O	Carboxylic Acid, Alcohol, Carbonyl, Amine
[K+].CC1=CC(=O)N=[S]([O-])(=O)O1	Carbonyl
[Na+].[Na+].[O-]C(=O)CCC([O-])=O	Carboxylic Acid, Carbonyl
[Na+].CC(C)CC(=O)C([O-])=O	Carboxylic Acid, Carbonyl
[Na+].COc1cc(\C=C\C([O-])=O)ccc1O	Carboxylic Acid, Methoxy, Alcohol, Carbonyl
[Na+].NC(CCC(O)=O)C([O-])=O	Carboxylic Acid, Alcohol, Carbonyl, Amine
[nH]1ccc2ccccc12	NO_MATCH
[nH]1cccc1	NO_MATCH
[NH4+].[NH4+].[S--]	NO_MATCH
Br\C=C\c1ccccc1	NO_MATCH
Brc1ccc(NC(=O)c2ccccc2)c(c1)c3ccccc3	Carbonyl, Amine
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O.O	Alcohol
C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O	Alcohol, Carbonyl
C(c1ccccc1)c2ccccc2	NO_MATCH
C(c1ccccc1)c2ccccn2	NO_MATCH
C(c1sccc1)c2sccc2	NO_MATCH
C(Cc1ccccc1)Cc2ccccn2	NO_MATCH
C(CO)NC(=O)C(C(C(C(CO)O)O)O)O	Alcohol, Carbonyl, Amine
C(COP(=O)(O)O)NC(=O)[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O	Alcohol, Carbonyl, Amine
C(n1cccc1)c2occc2	NO_MATCH
C(OCc1ccccc1)c2ccccc2	NO_MATCH
C(OCc1occc1)c2occc2	NO_MATCH
C(SCc1ccccc1)c2ccccc2	NO_MATCH
C(SCc1cnccn1)c2occc2	NO_MATCH
C(SCc1occc1)c2occc2	NO_MATCH
C(SSCc1ccccc1)c2ccccc2	NO_MATCH
C(SSCc1occc1)c2occc2	NO_MATCH
C/C(=C/C[C@@H]1[C@]2(CCCC([C@@H]2CC[C@@]1(C)O)(C)C)C)/C=C	Alcohol
C/C(=C/CC[C@@]1(C2C[C@H]3C1([C@H]3C2)C)C)/COC(=O)C	Ester, Aldehyde, Acetyl, Carbonyl
C/C(=C/CCC1(C2CCC(C2)C1=C)C)/CO	Alcohol
C/C(=C\C#N)/CCC1=CC=CC=C1	Nitrile
C/C(=C\C1=CC=CC=C1)/C=O	Carbonyl
C/C(C=O)=C/c1ccccc1	Carbonyl
C/C(C=O)=C/c1occc1	Carbonyl
C/C/1=C/CCCCCCCCCCCCC1=O	Carbonyl
C/C=C(/C)\C(=O)OCC(C)C	Ester, Carbonyl
C/C=C(/C)\C(=O)OCCC(C)C=C	Ester, Carbonyl
C/C=C(/C)C(=O)OCCC(C)C	Ester, Carbonyl
C/C=C(/C)C(=O)OCCc1ccccc1	Ester, Carbonyl
C/C=C(/C)C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
C/C=C(\C)/C(=O)OCC=C(C)C	Ester, Carbonyl
C/C=C(\C)/COC(=O)/C(=C/C)/C	Ester, Carbonyl
C/C=C(C)/C=C/C=C(C)C	NO_MATCH
C/C=C(C)/C=C/C=C(C)C	NO_MATCH
C/C=C(C)/CO	Alcohol
C/C=C/1\C[C@H]2C[C@@H]1C(C2)OC(C)C	NO_MATCH
C/C=C/C(=O)/C(=C(/C)\C(C)C)/C	Carbonyl
C/C=C/C(=O)/C(=C(\C)/C(C)C)/C	Carbonyl
C/C=C/C(=O)[C@@H]1[C@H](C)CCCC1(C)C	Carbonyl
C/C=C/C(=O)C1=C(C)C=CCC1(C)C	Carbonyl
C/C=C/C(=O)C1=C(C)C=CCC1(C)C	Carbonyl
C/C=C/C(=O)C1=C(C)CCCC1(C)C	Carbonyl
C/C=C/C(=O)C1=C(C)CCCC1(C)C	Carbonyl
C/C=C/C(=O)C1C(=C)CCCC1(C)C	Carbonyl
C/C=C/C(=O)C1C(=CCCC1(C)C)C	Carbonyl
C/C=C/C(=O)C1C(=CCCC1(C)C)C	Carbonyl
C/C=C/C(=O)C1C(C)C=CCC1(C)C	Carbonyl
C/C=C/C(=O)C1CCC(C)(C)C=C1C	Carbonyl
C/C=C/C(=O)OC(C)(C)CC1=CC=CC=C1	Ester, Carbonyl
C/C=C/C(=O)OC(C)C1CCCCC1	Ester, Carbonyl
C/C=C/C(=O)OC(C)CC(C)C	Ester, Carbonyl
C/C=C/C(=O)OC/C=C(C)/CCC=C(C)C	Ester, Carbonyl
C/C=C/C(=O)OC1CCCC1C2CCCC2	Ester, Carbonyl
C/C=C/C(=O)OC1CCCCC1	Ester, Carbonyl
C/C=C/C(=O)OCC(C)C	Ester, Carbonyl
C/C=C/C(=O)OCc1ccccc1	Ester, Carbonyl
C/C=C/C(C)C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
C/C=C/C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
C/C=C/C(O)=O	Carboxylic Acid, Alcohol, Carbonyl
C/C=C/C/C=C/C(C)=O	Aldehyde, Acetyl, Carbonyl
C/C=C/C=C/C(=O)OCC=C	Ester, Carbonyl
C/C=C/C=C/C(=O)OCC=C	Ester, Carbonyl
C/C=C/C=C/C=O	Carbonyl
C/C=C/C=C/C=O	Carbonyl
C/C=C/C=C/CO	Alcohol
C/C=C/C=C/CO	Alcohol
C/C=C/C=C/COC(=O)C	Ester, Aldehyde, Acetyl, Carbonyl
C/C=C/C=C/COC(=O)C(C)C	Ester, Carbonyl
C/C=C/C=C/COC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
C/C=C/C=C\COC(=O)C(C)C	Ester, Carbonyl
C/C=C/C1=CC(=C(C=C1)OC(=O)C)OC	Aldehyde, Acetyl, Methoxy, Carbonyl
C/C=C/c1cc(ccc1C)C(C)C	NO_MATCH
C/C=C/c1ccc2OCOc2c1	NO_MATCH
C/C=C/CCC=O	Carbonyl
C/C=C/CCC1CCCC(=O)O1	Ester, Carbonyl
C/C=C/CCCCC=O	Carbonyl
C/C=C/CCCCC=O	Carbonyl
C/C=C/CCCCCCCC=O	Carbonyl
C/C=C/CCCO	Alcohol
C/C=C/CCCO	Alcohol
C[C@@]1(CC[C@H]2C[C@@H]1C2(C)C)O	Alcohol
C[C@@]12CCC[C@@](C1)([C@H]3CC([C@@H]3CC2)(C)C)O	Alcohol
C[C@@H]([NH+](C)C)c1ccccc1	NO_MATCH
C[C@@H](CC/C=C(\C)/CCC=C(C)C)CC=O	Carbonyl
C[C@@H](CC=C)C([O-])=O	Carboxylic Acid, Carbonyl
C[C@@H](CC1=CC=C(C=C1)C(C)(C)C)C=O	Tert-butyl, Carbonyl
C[C@@H](CCC=C(C)C)[C@H]1CC=C(C)C=C1	NO_MATCH
C[C@@H](CCO)CCC=C(C)C	Alcohol
C[C@@H](CCO)CCC=C(C)C	Alcohol
C[C@@H](CO)c1ccccc1	Alcohol
C[C@@H](O)[C@H](C)O	Alcohol
C[C@@H]1[C@H]2C[C@H](CC1=O)C2(C)C	Carbonyl
C[C@@H]1C[C@H]2CC(CO[C@@H]2C[C@@H]1C)(C)C	NO_MATCH
C[C@@H]1C2=C(CCCC2(C)C)CC[C@]1(C)C(=O)C	Aldehyde, Acetyl, Carbonyl
C[C@@H]1CC(=CC[C@H]1[C@@H](CC=C)O)C	Alcohol
C[C@@H]1CC(=O)C[C@H]2[C@]1(C[C@@H](CC2)C(=C)C)C	Carbonyl
C[C@@H]1CC(=O)C=C2[C@]1(C[C@@H](C=C2)C(=C)C)C	Carbonyl
C[C@@H]1CC(C)(C)CC(=O)C1=O	Carbonyl
C[C@@H]1CC[C@@H]([C@@H]1C=O)C(C)=C	Carbonyl
C[C@@H]1CC[C@@H](C(=O)C1)C(C)(C)S	Thiol, Thione, Carbonyl
C[C@@H]1CC[C@@H]2[C@@]13C[C@H](C2(C)C)C4(C(C3)OC(O4)(C)C)C	NO_MATCH
C[C@@H]1CC[C@@H]2[C@]13CC[C@]([C@H](C3)C2(C)C)(C)C(=O)C	Aldehyde, Acetyl, Carbonyl
C[C@@H]1CC[C@H]([C@@H](C1)OC(C)=O)C(C)=C	Ester, Aldehyde, Acetyl, Carbonyl
C[C@@H]1CC[C@H]([C@@H](C1)OCC(C)(CO)O)C(C)C	Alcohol
C[C@@H]1CC[C@H]([C@H](C1)NC(=O)C2CC2)C(C)C	Cyclopropyl, Carbonyl, Amine
C[C@@H]1CC[C@H]([C@H](C1)O)C(C)C	Alcohol
C[C@@H]1CC[C@H]([C@H](O)C1)C(C)(C)O	Alcohol
C[C@@H]1CC[C@H]([C@H]2[C@]1(CCC(=C2)C)O)C(C)C	Alcohol
C[C@@H]1CC[C@H](CC1=O)C(C)=C	Carbonyl
C[C@@H]1CC[C@H]2[C@@H]1C3[C@@H](CC[C@]2(C)O)C3(C)C	Alcohol
C[C@@H]1CC[C@H]2[C@H](C2(C)C)C13COC(OC3)(C)C	NO_MATCH
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O	Alcohol
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)OC=O	Ester, Carbonyl
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC=C3COC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3CC12C(=O)C=C3C	Carbonyl
C[C@@H]1CC[C@H]2C(C)(C)C3C[C@@]12CC=C3C	NO_MATCH
C[C@@H]1CC[C@H]2C(C)(C)C3CC12CCC3(C)OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
C[C@@H]1CC[C@H]2C[C@@H]1C2(C)C	NO_MATCH
C[C@@H]1CC=C(C)[C@H](\C=C\C(C)=O)C1(C)C	Aldehyde, Acetyl, Carbonyl
C[C@@H]1CCC(=C(C)C)C(=O)C1	Carbonyl
C[C@@H]1CCC[C@]2([C@]1(CCCC2)O)C	Alcohol
C[C@@H]1CCC2=C(C(=O)OC2=C1)C	Ester, Carbonyl
C[C@@H]1CCC2=C(C1)OC=C2C	NO_MATCH
C[C@@H]1CCC2=C1N=CC[NH2+]2	Imino
C[C@@H]1CCc2c(C)coc2C1	NO_MATCH
C[C@@H]1CCC2C(C3=C(C)CC[C@H]13)C2(C)C	NO_MATCH
C[C@@H]1CCCCCCCCCCCCC(=O)C1	Carbonyl
C[C@]1(CC[C@@H](C(O1)(C)C)O)C=C	Alcohol
C[C@]1(CC[C@H]2[C@H]1[C@@H]3[C@@H](C3(C)C)CCC2=C)O	Alcohol
C[C@]1(O)CC[C@@H]2[C@@H]1[C@H]3[C@@H](CCC2=C)C3(C)C	Alcohol
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2	Alcohol
C[C@]12CCCC([C@@H]1CC[C@@]3([C@@H]2CCO3)C)(C)C	NO_MATCH
C[C@]12CCCC([C@@H]1CCC(=C)[C@@H]2CCC(=C)C=C)(C)C	NO_MATCH
C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N	Carboxylic Acid, Alcohol, Carbonyl, Amine
C[C@H](C(=O)OCCC(C)CCC=C(C)C)O	Ester, Alcohol, Carbonyl
C[C@H](C1=CC=CC=C1)OC(=O)C	Ester, Aldehyde, Acetyl, Carbonyl
C[C@H](CC1=CC=C(C=C1)C(C)(C)C)C=O	Tert-butyl, Carbonyl
C[C@H](CCC=C(C)C)CC#N	Nitrile
C[C@H](CCC=C(C)C)CC=O	Carbonyl
C[C@H](CCC=C(C)C)CC=O	Carbonyl
C[C@H](CCO)CCC=C(C)C	Alcohol
C[C@H](CCO)CCCC(C)=C	Alcohol
C[C@H](O)c1ccccc1	Alcohol
C[C@H]1[C@@H]2CCC(=C[C@@H]2OC1=O)C	Ester, Carbonyl
C[C@H]1CC(=O)C[C@@H]2[C@@]1(C[C@H](CC2)C(C)C)C	Carbonyl
C[C@H]1CC[C@H]([C@H]2C1=CC(C(=C2)C)O)C(C)C	Alcohol
C[C@H]1CC[C@H](C[C@@H]1O)C(=C)C	Alcohol
C[C@H]1CC[C@H](CC2=C1C(=O)C[C@@H]2C)C(=C)C	Carbonyl
C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O	Alcohol
C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O	Ester, Aldehyde, Acetyl, Carbonyl
C[C@H]1CCC(=O)O1	Ester, Carbonyl
C[C@H]1CCC[C@@]2(C)CCCC[C@@]12O	Alcohol
C[C@H]1CCC[C@@]2(C)CCCC[C@]12O	Alcohol
C[C@H]1CCC[C@]2(C)CC[C@]3(C[C@@]123)C(C)(C)O	Alcohol
C[C@H]1CCC=C(C)C12CC[C@H](C2)C(C)(C)O	Alcohol
C[C@H]1CCC2(O)C(C)(C)C3CC[C@@]2(C)C1C3	Alcohol
C[C@H]1CCC2=C(C1)OC=C2C	NO_MATCH
C[C@H]1N2CCC[C@H]2S[C@H](S1)C	Amine
C[C@H]1O[C@@H](C)C(=[NH+]1)C	NO_MATCH
C[C](C)=[C]1CC[C](C)(O)CC1	Alcohol
C[S](C)=O	Sulfoxide
C[S+](C)CC[C@@H](C(=O)O)N.[Cl-]	Carboxylic Acid, Alcohol, Carbonyl, Amine
C\C(C=C)=C/CC1OC1(C)C	NO_MATCH
C\C(C=C)=C/CCC(C)(C)O	Alcohol
C\C(C=O)=C/CC1=C(C)CCCC1(C)C	Carbonyl
