SMILES	FunctionalGroups
[Fe++].CC(O)C([O-])=O.CC(O)C([O-])=O	CarboxylicAcid, Alcohol
[H+].[Cl-].C1CCNC1	Amine
[H+].[Cl-].NCCCC(N)C(O)=O	CarboxylicAcid, Amine
[Na+].[Na+].[O-]C(=O)CCC([O-])=O	CarboxylicAcid
[Na+].CC(C)CC(=O)C([O-])=O	CarboxylicAcid
[Na+].COc1cc(\C=C\C([O-])=O)ccc1O	CarboxylicAcid, Alcohol
[Na+].NC(CCC(O)=O)C([O-])=O	CarboxylicAcid, Amine
Br\C=C\c1ccccc1	Halogen
Brc1ccc(NC(=O)c2ccccc2)c(c1)c3ccccc3	Halogen
C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@H]([C@@H](CO)O)[C@@H]([C@H](CO)O)O)O)O)O)O.O	Alcohol
C(C(C(C(C(C=O)O)O)O)O)O.C(C(C(C(C(=O)CO)O)O)O)O	Alcohol, Aldehyde
C(CO)NC(=O)C(C(C(C(CO)O)O)O)O	Alcohol
C(COP(=O)(O)O)NC(=O)[C@@H]([C@H]([C@H]([C@@H](CO)O)O)O)O	Alcohol
C/C(=C/C[C@@H]1[C@]2(CCCC([C@@H]2CC[C@@]1(C)O)(C)C)C)/C=C	Alcohol
C/C(=C/CCC1(C2CCC(C2)C1=C)C)/CO	Alcohol
C/C(=C\C1=CC=CC=C1)/C=O	Aldehyde
C/C(C=O)=C/c1ccccc1	Aldehyde
C/C(C=O)=C/c1occc1	Aldehyde
C/C=C(/C)C(O)=O	CarboxylicAcid
C/C=C(C)/CO	Alcohol
C/C=C/C(C)C(O)=O	CarboxylicAcid
C/C=C/C(O)=O	CarboxylicAcid
C/C=C/C(O)=O	CarboxylicAcid
C/C=C/C=C/C=O	Aldehyde
C/C=C/C=C/C=O	Aldehyde
C/C=C/C=C/CO	Alcohol
C/C=C/C=C/CO	Alcohol
C/C=C/CCC=O	Aldehyde
C/C=C/CCCCC=O	Aldehyde
C/C=C/CCCCC=O	Aldehyde
C/C=C/CCCCCCCC=O	Aldehyde
C/C=C/CCCO	Alcohol
C/C=C/CCCO	Alcohol
C[C@@]1(CC[C@H]2C[C@@H]1C2(C)C)O	Alcohol
C[C@@]12CCC[C@@]([C@H]1CC[C@]34[C@H]2CC[C@](C3)(C(=C)C4)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)(C)C(=O)O[C@H]8[C@@H]([C@H]([C@@H]([C@H](O8)CO)O)O)O	Alcohol
C[C@@]12CCC[C@@](C1)([C@H]3CC([C@@H]3CC2)(C)C)O	Alcohol
C[C@@]12CCC[C@](C)([C@H]1CC[C@]34CC(=C)[C@](CC[C@@H]23)(C4)O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(=O)O[C@@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@H]7O	Alcohol
C[C@@H]([NH+](C)C)c1ccccc1	Amine
C[C@@H](CC/C=C(\C)/CCC=C(C)C)CC=O	Aldehyde
C[C@@H](CC=C)C([O-])=O	CarboxylicAcid
C[C@@H](CC1=CC=C(C=C1)C(C)(C)C)C=O	Aldehyde
C[C@@H](CCO)CCC=C(C)C	Alcohol
C[C@@H](CCO)CCC=C(C)C	Alcohol
C[C@@H](CO)c1ccccc1	Alcohol
C[C@@H](O)[C@H](C)O	Alcohol
C[C@@H]1CC(=CC[C@H]1[C@@H](CC=C)O)C	Alcohol
C[C@@H]1CC[C@@H]([C@@H]1C=O)C(C)=C	Aldehyde
C[C@@H]1CC[C@H]([C@@H](C1)OCC(C)(CO)O)C(C)C	Alcohol
C[C@@H]1CC[C@H]([C@H](C1)O)C(C)C	Alcohol
C[C@@H]1CC[C@H]([C@H](O)C1)C(C)(C)O	Alcohol
C[C@@H]1CC[C@H]([C@H]2[C@]1(CCC(=C2)C)O)C(C)C	Alcohol
C[C@@H]1CC[C@H]2[C@@H]1C3[C@@H](CC[C@]2(C)O)C3(C)C	Alcohol
C[C@@H]1CC[C@H]2C(C)(C)[C@H]3C[C@@]12CC[C@@]3(C)O	Alcohol
C[C@@H]1CCC[C@]2([C@]1(CCCC2)O)C	Alcohol
C[C@@H]1CCC2=C1N=CC[NH2+]2	Amine
C[C@]1(CC[C@@H](C(O1)(C)C)O)C=C	Alcohol
C[C@]1(CC[C@H]2[C@H]1[C@@H]3[C@@H](C3(C)C)CCC2=C)O	Alcohol
C[C@]1(O)CC[C@@H]2[C@@H]1[C@H]3[C@@H](CCC2=C)C3(C)C	Alcohol
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2	Alcohol
C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N	CarboxylicAcid, Amine
C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N.C[C@H](C(=O)NC1C(SC1(C)C)(C)C)NC(=O)[C@H](CC(=O)O)N.O.O.O.O.O	CarboxylicAcid, Amine
C[C@H](C(=O)OCCC(C)CCC=C(C)C)O	Alcohol
C[C@H](CC1=CC=C(C=C1)C(C)(C)C)C=O	Aldehyde
C[C@H](CCC=C(C)C)CC=O	Aldehyde
C[C@H](CCC=C(C)C)CC=O	Aldehyde
C[C@H](CCO)CCC=C(C)C	Alcohol
C[C@H](CCO)CCCC(C)=C	Alcohol
C[C@H](O)c1ccccc1	Alcohol
C[C@H]1CC[C@H]([C@H]2C1=CC(C(=C2)C)O)C(C)C	Alcohol
C[C@H]1CC[C@H](C[C@@H]1O)C(=C)C	Alcohol
C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)O	Alcohol
C[C@H]1CCC[C@@]2(C)CCCC[C@@]12O	Alcohol
C[C@H]1CCC[C@@]2(C)CCCC[C@]12O	Alcohol
C[C@H]1CCC[C@]2(C)CC[C@]3(C[C@@]123)C(C)(C)O	Alcohol
C[C@H]1CCC=C(C)C12CC[C@H](C2)C(C)(C)O	Alcohol
C[C@H]1CCC2(O)C(C)(C)C3CC[C@@]2(C)C1C3	Alcohol
C[C@H]1N2CCC[C@H]2S[C@H](S1)C	Amine
C[C@H]1O[C@@H](C)C(=[NH+]1)C	Amine
C[C@H]1O[C@H](O[C@H]2[C@@H](O[C@H](CO)[C@@H](O)[C@@H]2O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O[C@]45CCC6[C@]7(C)CCC[C@](C)(C7CC[C@@]6(CC4=C)C5)C(=O)OC8O[C@H](CO)[C@@H](O)[C@H](O)[C@H]8O)[C@@H](O)[C@@H](O)[C@@H]1O	Alcohol
C[C](C)=[C]1CC[C](C)(O)CC1	Alcohol
C[S+](C)CC[C@@H](C(=O)O)N.[Cl-]	CarboxylicAcid, Amine
C\C(C=C)=C/CCC(C)(C)O	Alcohol
C\C(C=O)=C/CC1=C(C)CCCC1(C)C	Aldehyde
C\C(C=O)=C/CC1C(=CCCC1(C)C)C	Aldehyde
C\C=C(/C)C(O)=O	CarboxylicAcid
C\C=C(/C)C=O	Aldehyde
C\C=C(C=O)/c1ccccc1	Aldehyde
C\C=C/CCCO	Alcohol
C=CC=O	Aldehyde
C=CCC(C=O)c1ccccc1	Aldehyde
C=CCCC=O	Aldehyde
C=CCCCCCCCC=O	Aldehyde
C=CCCCCCCCCC=O	Aldehyde
C=CCCCN=C=S	Amine
C=CCN=C=S	Amine
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2N	Amine
C1=CN(C(=C1)C=O)CC2=CC=CO2	Aldehyde
C1=CN(C(=C1)C=O)CC2=CC=CS2	Aldehyde
C1=CN=C(C=N1)C=O	Aldehyde
C1=CSC(=C1)CC2=CC=C(S2)C=O	Aldehyde
C1C(OC(O1)CC2=CC=CC=C2)CO	Alcohol
C1CC=NC1	Amine
C1CC2C(C1)C3CC2CC3CC=O	Aldehyde
C1CCC(C1)C2CCC(C2O)C3CCCC3	Alcohol
C1CCNCC1	Amine
C1CNc2ccccc2C1	Amine
C1CNCCN1	Amine
C1CSCN1CCS	Amine
CC(/CC(C)(O)C=C)=C\C=C	Alcohol
CC(/CC\C=C(/C)C=O)=C\C\C=C(/C)C=C	Aldehyde
CC(/CC\C=C(/C)C=O)=C\CCC(=C)C=C	Aldehyde
CC(/CO)=C/CCC1(C)C2CC3C(C2)C13C	Alcohol
CC(/CO)=C\CC1CC=C(C)C1(C)C	Alcohol
CC(\CC[C@@H]1C(=C)CCCC1(C)C)=C/CCC2[C@](C)(O)CCC3C(C)(C)CCC[C@]23C	Alcohol
CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O	Alcohol
CC(=C)[C@@H]1C[C@@H](CC[C@@]1(C)C=C)C(C)(C)O	Alcohol
CC(=C)[C@@H]1CC[C@@](C)(O)C=C1	Alcohol
CC(=C)[C@@H]1CC=C(C)[C@H](O)C1	Alcohol
CC(=C)C(CC(=O)O)CC(=O)O	CarboxylicAcid
CC(=C)C(O)C\C=C(/C)C=C	Alcohol
CC(=C)C(O)C\C=C(/C)C=C	Alcohol
CC(=C)C=O	Aldehyde
CC(=C)C1CC=C(C)C(O)C1	Alcohol
CC(=C)C1CC=C(C)C(O)C1	Alcohol
CC(=C)C1CCC(=CC1)C=O	Aldehyde
CC(=C)C1CCC(=CC1)C=O	Aldehyde
CC(=C)C1CCC(=CC1)CO	Alcohol
CC(=C)C1CCC(C)(O)C(O)C1	Alcohol
CC(=C)C1CCC(C)(O)C=C1	Alcohol
CC(=C)C1CCC(C)(O)CC1	Alcohol
CC(=C)C1CCC(CC1)C=O	Aldehyde
CC(=CC/C=C(/C)\CC=O)C	Aldehyde
CC(=CCCC(=CCCC(=CCCC(C)(C=C)O)C)C)C	Alcohol
CC(=CCCC1(CC1C=O)C)C	Aldehyde
CC(=CCCC1=CCC(CC1)C=NC2=CC=CC=C2C(=O)OC)C	Amine
CC(=O)C(CC1=CC=CC=C1)O	Alcohol
CC(=O)C(O)=O	CarboxylicAcid
CC(=O)C=O	Aldehyde
CC(=O)C1(C)CC2(O)OC(C)(OC2(C)O1)C(C)=O	Alcohol
CC(=O)C1=CCCCN1	Amine
CC(=O)C1=CCCN1	Amine
CC(=O)C1=CSCCN1	Amine
CC(=O)C1=NCCC1	Amine
CC(=O)C1=NCCCC1	Amine
CC(=O)C1=NCCS1	Amine
CC(=O)c1c(C)c(c(c(c1C)[N+]([O-])=O)C(C)(C)C)[N+]([O-])=O	Nitro
CC(=O)c1ccc(Cl)cc1	Halogen
CC(=O)c1ccc(O)cc1	Alcohol
CC(=O)c1ccccc1O	Alcohol
CC(=O)c1occc1O	Alcohol
CC(=O)CCC(O)=O	CarboxylicAcid
CC(=O)CCc1ccc(O)cc1	Alcohol
CC(=O)CO	Alcohol
CC(=O)OC[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](OC(C)=O)C=O	Aldehyde
CC(=O)OC1(CCCCC1)C#C	TerminalAlkyne
CC(C(=O)[O-])OC1=CC=C(C=C1)OC.[Na+]	CarboxylicAcid
CC(C(=O)NCCOP(=O)(O)O)O	Alcohol
CC(C(C)(CC=C(C)C)C=C)O	Alcohol
CC(C(C)C(C)O)C(C)C(C)(C)C	Alcohol
CC(C(C)O)C(=C)C(C)C(C)(C)C	Alcohol
