Label	AUC-ROC
vegetal	0.7015
fruite	0.7260
frais	0.7324
vegetal_vert	0.7369
doux	0.6595
gras	0.6469
floral	0.7482
boise	0.7065
vert	0.7075
aldehyde	0.7483
chimique	0.6372
empyreumatique	0.7875
balsamique	0.6396
aldehyde_frais	0.7223
fruit_exotique	0.7226
herbe	0.7024
legume	0.7380
fermentaire	0.6247
phenole	0.7808
epice	0.6894
fleur_d_arbuste	0.7161
cuit	0.7534
terreux	0.6647
fruit_sec	0.7169
fleur_du_jardin	0.7157
agrume	0.7843
oleagineux	0.7515
lactique	0.6354
soufre	0.8737
plante_aromatique	0.7475
animal	0.6479
fruit_a_coque	0.8004
moisi	0.6340
fruit_a_pepins	0.7492
torrefie	0.7741
medicinal	0.7897
vegetal_sec	0.6559
rose	0.7378
huile	0.7035
lactone	0.6627
menthe	0.8393
bois	0.8161
creme	0.5670
boissons_alcoolisees	0.7676
sucre_cuit	0.7656
baie	0.6290
poudre	0.8005
viande_cuite	0.8347
pomme	0.8027
malte	0.7746
mielle	0.7960
solvant	0.7556
ananas	0.7949
fruit_rouge	0.6770
coumarine	0.6510
caramel	0.8179
mineral	0.6951
resineux	0.8629
alliace	0.9513
fruit_a_noyau	0.6772
metal	0.6785
metallique	0.7233
peponide	0.7694
melon	0.7650
brule	0.8334
feuille	0.6341
alcool_de_fut	0.7952
ether	0.8095
boisson_fermentee	0.7100
camphre	0.8924
miel	0.7582
citronne	0.7849
racine	0.5896
oignon	0.9791
crucifere	0.7620
lacte	0.6285
fleur_d_arbre	0.7874
vin	0.7468
fromage	0.7810
poire	0.7892
banane	0.8037
champignon	0.7158
cafe	0.8365
cacao	0.6804
musque	0.9283
savon	0.7666
beurre	0.7044
noix_de_coco	0.7243
anise	0.5819
pin	0.9305
vanille	0.8810
jasmin	0.7985
ambre	0.8937
ail	0.9780
musc	0.9757
cereale	0.8927
peche	0.6885
cerise	0.6895
violette	0.7491
rhum	0.8148
