smiles,new_descriptors_added
CC(O)CN,['amine']
CCC(=O)C(=O)O,"['dairy', 'cooked', 'cooked sugar', 'empyreumatic']"
O=C(O)CCc1ccccc1,"['bush flower', 'chemical', 'animal', 'spicy', 'phenolic', 'woody', 'medicinal']"
OCc1ccc(O)cc1,"['balsamic', 'vegetal', 'chemical', 'lactone', 'oleaginous', 'dry vegetal', 'dried fruit', 'fresh', 'fatty', 'tropical fruit', 'coumarin', 'woody']"
O=Cc1ccc(O)cc1,"['mineral', 'vegetal', 'metal', 'oleaginous', 'dry vegetal', 'fruity', 'honeyed', 'dried fruit', 'fatty']"
O=C(O)c1ccc(O)cc1,"['fruity', 'dried fruit', 'fatty', 'oleaginous']"
CC=O,"['chemical', 'vegetal', 'fatty', 'solvent', 'oleaginous', 'fermented', 'phenolic', 'green vegetal', 'medicinal', 'dried fruit']"
CC(C)=O,"['chemical', 'fruity', 'fruit with pip', 'fresh']"
O=Cc1ccccc1,"['red berry', 'floral', 'cherry', 'oleaginous', 'dried fruit', 'fatty']"
O=C(O)c1ccccc1,"['woody', 'sweet', 'empyreumatic']"
OCc1ccccc1,"['bush flower', 'woody']"
CCCC=O,"['roasted', 'vegetal', 'sweet', 'empyreumatic', 'fermented', 'green vegetal', 'fresh']"
CCCCO,"['floral', 'chemical', 'fresh', 'woody', 'alcoholic beverages', 'fermented drink', 'phenolic', 'medicinal', 'fatty']"
CCCC(=O)O,"['fermented', 'fatty']"
CC(C)c1ccc(CO)cc1,"['phenolic', 'animal', 'fatty']"
CC(C)c1ccc(C=O)cc1,"['vegetal', 'green vegetal', 'fresh']"
C=Cc1ccc(O)c(OC)c1,"['floral', 'chemical', 'empyreumatic', 'medicinal', 'smoked']"
Cc1ccccc1O,"['chemical', 'fermented', 'animal']"
Cc1cccc(O)c1,"['chemical', 'animal']"
CCCCCCCC(=O)O,"['dairy', 'vegetal', 'fermented']"
CCCCCCCC=O,"['vegetal', 'green vegetal', 'citrus']"
COc1ccccc1O,"['balsamic', 'cooked', 'chemical', 'empyreumatic', 'smoked']"
CCC=O,"['malt', 'balsamic', 'floral', 'chemical', 'barrel aged alcohol', 'vegetal', 'sweet', 'empyreumatic', 'oleaginous', 'fruity', 'green vegetal', 'medicinal', 'fruit with pip', 'dried fruit', 'fresh', 'fatty', 'roasted', 'cooked', 'solvent', 'alcoholic beverages', 'fermented drink', 'fermented', 'phenolic', 'woody']"
CSCCC(=O)O,"['malt', 'vegetal', 'empyreumatic', 'dairy', 'fermented', 'green vegetal', 'fresh']"
CC(O)C(=O)O,"['dairy', 'fatty']"
CC(=O)C(C)=O,"['cooked', 'empyreumatic', 'dairy', 'cooked sugar', 'fatty']"
O=C1CCc2ccccc2O1,"['vegetal', 'chemical', 'lactone', 'oleaginous', 'dairy', 'dry vegetal', 'fruity', 'medicinal', 'dried fruit', 'fatty', 'tropical fruit', 'fresh', 'phenolic', 'woody']"
CCO,"['chemical', 'solvent', 'phenolic', 'fresh']"
c1ccc2[nH]ccc2c1,"['dairy', 'fermented']"
