smiles,new_descriptors_added
CCC(=O)C(=O)O,"['empyreumatic', 'cooked', 'dairy', 'cooked sugar']"
O=C(O)CCc1ccccc1,"['animal', 'musky', 'spicy', 'chemical', 'phenolic', 'bush flower', 'woody', 'medicinal']"
OCc1ccc(O)cc1,"['bitter almond', 'oleaginous', 'lactone', 'dried fruit', 'vegetal', 'coumarin', 'balsamic', 'chemical', 'dry vegetal', 'fatty', 'fresh', 'tropical fruit', 'woody']"
O=Cc1ccc(O)cc1,"['oleaginous', 'fruity', 'dried fruit', 'vegetal', 'mineral', 'honeyed', 'bitter almond', 'fatty', 'metal', 'dry vegetal']"
O=C(O)c1ccc(O)cc1,"['fatty', 'fruity', 'dried fruit', 'oleaginous']"
CC=O,"['fermented', 'dried fruit', 'vegetal', 'chemical', 'phenolic', 'solvent', 'green vegetal', 'fatty', 'oleaginous', 'medicinal']"
CC(C)=O,"['fruity', 'chemical', 'fresh', 'fruit with pip']"
O=Cc1ccccc1,"['dried fruit', 'red berry', 'floral', 'bitter almond', 'fatty', 'oleaginous']"
O=C(O)c1ccccc1,"['empyreumatic', 'woody', 'sweet']"
OCc1ccccc1,"['nutty', 'dried fruit', 'bitter almond', 'fatty', 'bush flower', 'woody', 'oleaginous']"
CCCC=O,"['fermented', 'empyreumatic', 'dairy', 'vegetal', 'roasted', 'green vegetal', 'fresh', 'malt', 'milky', 'sweet']"
CCCCO,"['floral', 'fermented drink', 'chemical', 'phenolic', 'alcoholic beverages', 'fatty', 'fresh', 'woody', 'medicinal']"
CCCC(=O)O,"['fatty', 'fermented']"
CC(C)c1ccc(CO)cc1,"['animal', 'phenolic', 'fatty']"
CC(C)c1ccc(C=O)cc1,"['green vegetal', 'fresh', 'vegetal']"
C=Cc1ccc(O)c(OC)c1,"['empyreumatic', 'floral', 'chemical', 'smoked', 'medicinal']"
Cc1ccccc1O,"['animal', 'chemical', 'fermented']"
Cc1cccc(O)c1,"['animal', 'chemical']"
CCCCCCCC(=O)O,"['fermented', 'dairy', 'vegetal']"
CCCCCCCC=O,"['green vegetal', 'vegetal']"
COc1ccccc1O,"['empyreumatic', 'balsamic', 'chemical', 'smoked']"
