tgsc	ttl
acidic	acidic
acorn	acorn
alcoholic	alcohol
algae	seaweed
almond bitter almond 	bitter almond
almond roasted almond	 roasted almond
almond toasted almond	 roasted almond
ammoniacal	ammonia
apple cooked apple	cooked apple
apple dried apple	apple dried apple
apple green apple	green apple
apple skin	apple skin
aromatic	aromatic
arrack	peanut
astringent	astringent
autumn 	autumn
baked	cooked
banana peel 	banana peel
banana ripe banana	banana
banana unripe banana	unripe banana
barley roasted barley	roasted barley
bay	berry
bean green bean	green bean
beany	bean
beef juice	beef juice
beefy	beefy
beefy roasted beefy	roast beef
berry ripe berry	berry
bitter	bitter
blackberry	mulberry
bois de rose	rosewood
bready	bread
bread baked	bread
bread rye bread	rye bread
brothy	bouillon
brown	brown
bubble gum	bubble gum
butterscotch	caramel
buttery	butter
camphoreous	camphor
cananga	ylang
cantaloupe	melon
caramellic	caramel
carrot seed	 carrot seed
cassia	cassia
catty	cat urine
cedar	cedarwood
cheesy	cheese
cheesy bleu cheese	Blue cheese
cheesy feta cheese	feta cheese
cheesy limburger cheese	limburger cheese
cheesy parmesan cheese	parmesan cheese
cheesy roquefort cheese	roquefort cheese
cherry maraschino cherry	maraschino cherry
Chicken roasted chicken	roasted chicken
chocolate dark chocolate	dark chocolate
cilantro	coriander
cinnamyl	cinnamon
citronella	lemongrass
citrus rind	citrus peel
clean	clean
cloth laundered cloth	cloth laundered cloth
Coffee roasted coffee	roasted coffee
cooling	cooling
corn chip	corn chip
cornmeal	cornmeal
cornmint	cornmint
cortex	cortex
coumarinic	 coumarin
creamy	cream
cucumber skin	cucumber
currant black currant	black currant
currant bud black currant bud	 black currant bud
dewy	fresh
dirty	dirty
dry	 dry
egg nog	egg nog
eggy	egg
filbert 	hazelnut
fishy 	fish 
fleshy 	fleshy
foliage	 leafy
frankincense 	incense
fresh outdoors 	fresh outdoors
fruit dried fruit 	dried fruit  
fruit overripe fruit 	fruit overripe fruit
fruit ripe fruit 	fruit ripe fruit
fruit tropical fruit 	  tropical fruit 
fuel 	fuel
fungal 	mushroom
fusel 	amylic
gourmand 	gourmand
graham cracker 	graham cracker
grain toasted grain 	Roasted grain 
grape skin 	grape skin
grapefruit peel 	grapefruit peel
grassy	grass
gravy 	gravy
greasy 	Fatty 
guaiacol 	guaiacol
hairy 	hairy
hay new mown hay 	  hay 
hazelnut roasted hazelnut 	  roasted hazelnut 
herbal	grass
honeydew 	honeydew
jasmin 	  jasmine 
juicy 	juicy
juicy fruit 	juicy fruit
ketonic 	ketonic
kimchi 	kimchi
kokumi	kokumi
labdanum	cistus
lactonic	lactone
licorice black licorice	licorice black licorice
lily of the valley	muguet
loganberry 	boysenberry 
mace 	nutmeg
malty 	malt 
mandarin 	mandarin
meaty 	cooked meat
 meaty roasted meaty 	cooked meat
 melon rind 	 melon
 melon unripe melon 	melon unripe melon
 moldy 	musty
 mossy 	moss
 natural 	natural
 neroli 	orange blossom
 nut flesh 	  nutty 
 nut skin 	  nutty 
 odorless 	odorless
 onion cooked onion 	  cooked onion 
 onion green onion 	onion
 orange bitter orange 	  bitter orange 
 orangeflower 	orange blossom
orange peel	orange peel
 oriental 	oriental
 origanum 	 origanum 
 pea green pea 	  green pea 
 peanut roasted peanut 	roasted peanut
 pear skin 	  pear 
 peely 	peely
 pepper bell pepper 	  bell pepper 
 pepper black pepper 	  black pepper 
 peppery 	  pepper 
 petal 	petal
 plum skin 	plum skin
 potato baked potato 	  baked potato 
 potato raw potato 	potato
 privetblossom 	  privet 
 pulpy 	pulpy
 pungent 	pungent
 raw 	raw
 rindy 	rindy
 ripe 	ripe
 rooty 	  root 
 rose dried rose 	  rose 
 rose red rose 	  rose 
 rose tea rose 	rose tea rose
 sage 	clary sage
 sage clary sage 	clary sage
 salty 	salty
 sandy 	sandy
 sausage smoked sausage 	smoked meat
 savory 	savory
 seashore 	seashore
 seedy 	seedy
 sharp 	sharp
 soft 	soft
 sour 	sour
 starchy 	starchy
storax	storax
 stringent 	stringent
 styrene 	styrene
 sugar 	sugar
 sugar brown sugar 	caramel
 sugar burnt sugar 	  burnt sugar 
 sulfurous	sulphurous
 taco 	taco
 tart 	tart
 tea black tea 	  tea 
 tea green tea 	  tea 
 terpenic 	terpenic
 thujonic 	thujonic
 toasted 	roasted
 tropical 	  tropical fruit 
 turnup 	turnup
 tutti frutti 	tutti frutti
 umami 	umami
 violet leaf 	  violet 
 warm 	warm
 watermelon rind 	watermelon rind
 watery 	watery
 waxy 	waxy
 weedy 	grass
 wet 	wet
woody burnt wood	 burnt wood
woody oak wood	oak wood
woody old wood	woody old wood
wormwood	absinthe
yeasty	yeast
zesty	citrus peel
