cas_number,new_descriptors_added
50-70-4,"['sucre_cuit', 'empyreumatique', 'cuit']"
51-67-2,"['soufre', 'chimique', 'empyreumatique', 'vegetal']"
56-12-2,"['empyreumatique', 'cuit']"
56-85-9,"['lactique', 'empyreumatique', 'torrefie', 'malte', 'creme', 'gras']"
56-86-0,"['cuit', 'fermentaire', 'empyreumatique', 'cereale', 'malte']"
57-06-7,"['soufre', 'terreux', 'legume', 'vegetal', 'racine', 'crucifere']"
57-10-3,"['animal', 'vegetal', 'aldehyde', 'graisse_animale', 'vegetal_vert']"
57-50-1,"['sucre_cuit', 'empyreumatique', 'cuit']"
58-08-2,"['mineral', 'metal']"
58-86-6,"['sucre_cuit', 'empyreumatique', 'fume', 'phenole', 'cuit']"
60-01-5,"['lactique', 'fermentaire']"
60-12-8,"['empyreumatique', 'malte', 'fleur_d_arbuste', 'mielle', 'cereale', 'cuit']"
64-04-0,"['chimique', 'amine']"
64-17-5,"['chimique', 'frais', 'solvant', 'phenole']"
64-18-6,"['soufre', 'cuit', 'chimique', 'empyreumatique', 'legume', 'vegetal', 'malte', 'crucifere', 'cereale']"
64-19-7,"['chimique', 'fermentaire']"
65-85-0,"['boise', 'doux', 'amine']"
66-25-1,"['fruit_a_pepins', 'animal', 'vegetal', 'vegetal_vert', 'aldehyde_frais']"
67-47-0,"['vegetal_sec', 'cuit', 'lactique', 'doux', 'sucre_cuit', 'empyreumatique', 'vegetal', 'aldehyde', 'frais', 'vegetal_vert', 'aldehyde_frais', 'fermentaire']"
67-63-0,"['chimique', 'frais', 'medicinal', 'solvant', 'phenole', 'fermentaire']"
67-64-1,"['fruit_a_pepins', 'frais', 'chimique', 'fruite']"
67-68-5,"['soufre', 'lactique', 'terreux', 'boise', 'alliace', 'moisi', 'legume', 'vegetal', 'malte', 'cereale', 'fermentaire']"
69-72-7,"['fruit_sec', 'gras', 'oleagineux', 'fruite']"
71-23-8,"['fruit_a_pepins', 'chimique', 'fruit_sec', 'boissons_alcoolisees', 'phenole', 'oleagineux', 'frais', 'alcool_blanc', 'medicinal', 'solvant', 'gras']"
71-36-3,"['fruit_exotique', 'boise', 'chimique', 'boissons_alcoolisees', 'alcool_de_fut', 'fruite', 'gras']"
