Positive & Negative Label Counts per Odor Descriptor

       Odor Descriptor  Positive Count  Negative Count
               vegetal            2210            1486
                fruite            2015            1681
                 frais            1956            1740
          vegetal_vert            1762            1934
                  doux            1566            2130
                  gras            1524            2172
                floral            1322            2374
                 boise            1295            2401
                  vert            1114            2582
              aldehyde             788            2908
              chimique             749            2947
        empyreumatique             743            2953
            balsamique             658            3038
        aldehyde_frais             630            3066
        fruit_exotique             589            3107
                 herbe             581            3115
                legume             568            3128
           fermentaire             565            3131
               phenole             538            3158
                 epice             536            3160
       fleur_d_arbuste             491            3205
                  cuit             480            3216
               terreux             473            3223
             fruit_sec             448            3248
       fleur_du_jardin             440            3256
                agrume             438            3258
              lactique             418            3278
            oleagineux             418            3278
                soufre             363            3333
     plante_aromatique             355            3341
                animal             338            3358
         fruit_a_coque             331            3365
                 moisi             322            3374
        fruit_a_pepins             315            3381
              torrefie             303            3393
             medicinal             302            3394
           vegetal_sec             285            3411
                  rose             280            3416
                 huile             277            3419
               lactone             276            3420
                menthe             264            3432
                  bois             262            3434
                 creme             227            3469
  boissons_alcoolisees             221            3475
            sucre_cuit             213            3483
                  baie             208            3488
                poudre             205            3491
          viande_cuite             193            3503
                 pomme             189            3507
                 malte             188            3508
                mielle             175            3521
               solvant             166            3530
                ananas             162            3534
           fruit_rouge             161            3535
             coumarine             158            3538
               caramel             157            3539
               mineral             156            3540
              resineux             155            3541
               alliace             155            3541
         fruit_a_noyau             154            3542
                 metal             152            3544
            metallique             149            3547
              peponide             138            3558
                 melon             136            3560
                 brule             134            3562
               feuille             132            3564
         alcool_de_fut             130            3566
                 ether             127            3569
               camphre             125            3571
     boisson_fermentee             125            3571
                  miel             122            3574
              citronne             120            3576
                racine             120            3576
                oignon             119            3577
             crucifere             118            3578
                 lacte             117            3579
         fleur_d_arbre             117            3579
                   vin             115            3581
               fromage             112            3584
                 poire             111            3585
                banane             108            3588
            champignon             108            3588
                  cafe             106            3590
                 cacao             105            3591
                musque              99            3597
                 savon              97            3599
                beurre              96            3600
          noix_de_coco              94            3602
                 anise              92            3604
                   pin              91            3605
               vanille              90            3606
                jasmin              90            3606
                 ambre              89            3607
                   ail              85            3611
                  musc              84            3612
               cereale              84            3612
                 peche              83            3613
                cerise              82            3614
              violette              76            3620
                  rhum              75            3621
           legume_vert              73            3623
                 tabac              71            3625
              cannelle              69            3627
          amande_amere              68            3628
                raisin              65            3631
                orange              64            3632
               abricot              64            3632
                  fume              61            3635
                muguet              58            3638
              geranium              57            3639
                 amine              56            3640
                cognac              56            3640
          cucurbitacee              56            3640
                 ester              56            3640
       fleur_d_oranger              56            3640
              noisette              54            3642
                  pain              54            3642
             concombre              54            3642
        pomme_de_terre              53            3643
                 prune              53            3643
                  cuir              53            3643
              jacinthe              52            3644
            fruit_cuit              50            3646
                  iris              50            3646
            fruit_noir              48            3648
                amande              48            3648
                  foin              48            3648
          pamplemousse              47            3649
                citron              47            3649
              chocolat              47            3649
                 cedre              47            3649
             confiture              46            3650
                  chou              45            3651
                poivre              45            3651
              bouillon              44            3652
                 fumee              44            3652
                   lys              43            3653
               poisson              43            3653
               menthol              41            3655
            poulailler              40            3656
                fraise              40            3656
               lavande              39            3657
                 marin              39            3657
              reglisse              38            3658
             framboise              38            3658
                   the              37            3659
              moutarde              37            3659
                celeri              37            3659
             bergamote              36            3660
                  anis              36            3660
                santal              36            3660
                poulet              36            3660
                 ozone              35            3661
             coriandre              35            3661
             plastique              34            3662
              narcisse              33            3663
              aubepine              33            3663
           citron_vert              33            3663
          zeste_agrume              32            3664
       graisse_animale              32            3664
       clou_de_girofle              32            3664
                levure              31            3665
               vetiver              31            3665
                tomate              30            3666
              capucine              30            3666
              orchidee              30            3666
                 foret              30            3666
                alcool              29            3667
            ambre_gris              29            3667
            feve_tonka              29            3667
                 radis              28            3668
     produit_petrolier              28            3668
fruit_a_coque_torrefie              27            3669
              gardenia              27            3669
                 sueur              26            3670
            caoutchouc              26            3670
                 cumin              26            3670
                mangue              26            3670
              amylique              25            3671
             poussiere              25            3671
            naphtaline              25            3671
       fleur_de_troene              24            3672
        sirop_d_erable              24            3672
              pop_corn              24            3672
             pyrazique              24            3672
                  feve              23            3673
               raifort              23            3673
                  oeuf              23            3673
              galbanum              22            3674
   fruit_de_la_passion              22            3674
           ylang_ylang              22            3674
         legumes_cuits              22            3674
               friture              22            3674
                 sauge              22            3674
             cacahuete              22            3674
     aiguille_de_sapin              22            3674
         cafe_torrifie              21            3675
           pomme_verte              21            3675
              magnolia              21            3675
             patchouli              21            3675
               oeillet              20            3676
    bourgeon_de_cassis              20            3676
              myrtille              20            3676
               poivron              19            3677
        vert_pyrazique              19            3677
                  mais              19            3677
            ammoniaque              19            3677
                  suif              19            3677
                cassis              18            3678
          viande_fumee              18            3678
              rhubarbe              18            3678
                bonbon              18            3678
                 rance              18            3678
                mousse              17            3679
                 lilas              17            3679
          menthe_verte              17            3679
                mimosa              17            3679
                 humus              17            3679
          chrysantheme              17            3679
                brandy              17            3679
        menthe_poivree              16            3680
                  noix              16            3680
                whisky              16            3680
               asperge              16            3680
              ambrette              16            3680
          bois_de_rose              16            3680
                 bacon              16            3680
          fruit_de_mer              15            3681
    noisette_torrefiee              15            3681
                grille              15            3681
                wasabi              15            3681
                  kiwi              15            3681
            eucalyptus              15            3681
             camomille              14            3682
                 algue              14            3682
         urine_de_chat              14            3682
     graisse_de_poulet              13            3683
                trefle              13            3683
            heliotrope              13            3683
           petit_grain              13            3683
               fenouil              13            3683
                   gaz              13            3683
          banane_verte              13            3683
              acetique              13            3683
                 fecal              12            3684
     feuille_de_tomate              12            3684
           oignon_cuit              12            3684
                goyave              12            3684
            citronelle              12            3684
                 buchu              12            3684
              pasteque              12            3684
                papaye              12            3684
          haricot_vert              12            3684
               cresson              11            3685
    cacahuete_torrifie              11            3685
                 carvi              11            3685
              costarde              11            3685
                 ciste              11            3685
              cyclamen              11            3685
       mousse_de_chene              11            3685
            gaultherie              11            3685
                  mure              11            3685
           sucre_brule              11            3685
               romarin              11            3685
            raisin_sec              11            3685
             tubereuse              11            3685
