Index: 0, SMILES: CCCCOC(=O)C(C)O, Num Nodes: 10, Num Edges: 18
Index: 1, SMILES: CCC=O, Num Nodes: 4, Num Edges: 6
Index: 2, SMILES: CC(=O)c1ccccc1O, Num Nodes: 10, Num Edges: 20
Index: 3, SMILES: COC1=C(C)OC(C)C1=O, Num Nodes: 10, Num Edges: 20
Index: 4, SMILES: CCCC=CC=O, Num Nodes: 7, Num Edges: 12
Index: 5, SMILES: CC=CC(=O)OCC(C)C, Num Nodes: 10, Num Edges: 18
Index: 6, SMILES: CCCCCCC(=O)OCCCCC, Num Nodes: 14, Num Edges: 26
Index: 7, SMILES: CCC=CCC=CCCO, Num Nodes: 10, Num Edges: 18
Index: 8, SMILES: CCCCCCCCCC(OCC)OCC, Num Nodes: 16, Num Edges: 30
Index: 9, SMILES: CC(=O)c1ccc(C)s1, Num Nodes: 9, Num Edges: 18
Index: 10, SMILES: CCC=CCCOC(C)=O, Num Nodes: 10, Num Edges: 18
Index: 11, SMILES: CCCCCCCC(=O)OCCC(C)C, Num Nodes: 15, Num Edges: 28
Index: 12, SMILES: CCC(=O)C=Cc1ccc(OC)cc1, Num Nodes: 14, Num Edges: 28
Index: 13, SMILES: Cc1cnc(C)cn1, Num Nodes: 8, Num Edges: 16
Index: 14, SMILES: CCCCC1CCCCC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 15, SMILES: CCCCCCCCC(=O)OC, Num Nodes: 12, Num Edges: 22
Index: 16, SMILES: CC(CCO)CC(C)(C)C, Num Nodes: 10, Num Edges: 18
Index: 17, SMILES: CCCC(C)O, Num Nodes: 6, Num Edges: 10
Index: 18, SMILES: COC(=O)Cc1ccc(C(C)(C)C)cc1, Num Nodes: 15, Num Edges: 30
Index: 19, SMILES: CC(=O)c1ccccc1C, Num Nodes: 10, Num Edges: 20
Index: 20, SMILES: C=C(C)C1CC=C(C=O)CC1, Num Nodes: 11, Num Edges: 22
Index: 21, SMILES: CCCCCC(C)=O, Num Nodes: 8, Num Edges: 14
Index: 22, SMILES: CCCCCCCCO, Num Nodes: 9, Num Edges: 16
Index: 23, SMILES: CCCCCCCC(=O)OCCC, Num Nodes: 13, Num Edges: 24
Index: 24, SMILES: CCCCCCCC1CCCC(=O)O1, Num Nodes: 14, Num Edges: 28
Index: 25, SMILES: CCC(C)C=O, Num Nodes: 6, Num Edges: 10
Index: 26, SMILES: CCCCOC(=O)C(C)CC, Num Nodes: 11, Num Edges: 20
Index: 27, SMILES: C=CCOC(=O)CC, Num Nodes: 8, Num Edges: 14
Index: 28, SMILES: CC(C)COC(Cc1ccccc1)OCC(C)C, Num Nodes: 18, Num Edges: 36
Index: 29, SMILES: CCCCCCC(=O)OCCC, Num Nodes: 12, Num Edges: 22
Index: 30, SMILES: CCCC=CC(=O)OCC, Num Nodes: 10, Num Edges: 18
Index: 31, SMILES: CC(=O)C=C(C)C, Num Nodes: 7, Num Edges: 12
Index: 32, SMILES: CCC(C=O)=Cc1ccco1, Num Nodes: 11, Num Edges: 22
Index: 33, SMILES: CC(O)c1ccccc1, Num Nodes: 9, Num Edges: 18
Index: 34, SMILES: O=C1CCc2ccccc2O1, Num Nodes: 11, Num Edges: 24
Index: 35, SMILES: CCCC1CCC(=O)O1, Num Nodes: 9, Num Edges: 18
Index: 36, SMILES: CCCCCCCOC(C)=O, Num Nodes: 11, Num Edges: 20
Index: 37, SMILES: CCCCCCCCCCC(=O)OCC, Num Nodes: 15, Num Edges: 28
Index: 38, SMILES: CCCCC(C)O, Num Nodes: 7, Num Edges: 12
Index: 39, SMILES: CC(=O)C=Cc1ccco1, Num Nodes: 10, Num Edges: 20
Index: 40, SMILES: CCC=CCCC1(C)CCC(=O)O1, Num Nodes: 13, Num Edges: 26
Index: 41, SMILES: Cc1ccc2oc(=O)ccc2c1, Num Nodes: 12, Num Edges: 26
Index: 42, SMILES: CCCCCCC1CCC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 43, SMILES: Cc1ccc(C(C)(C)O)cc1, Num Nodes: 11, Num Edges: 22
Index: 44, SMILES: CCCCCCCC=CC(=O)OCCCC, Num Nodes: 16, Num Edges: 30
Index: 45, SMILES: CCC=CCCOC(=O)CCCCC, Num Nodes: 14, Num Edges: 26
Index: 46, SMILES: CC(C)=CCCC(C)=CCOC=O, Num Nodes: 13, Num Edges: 24
Index: 47, SMILES: CC(C)=CC1CC(C)CCO1, Num Nodes: 11, Num Edges: 22
Index: 48, SMILES: COc1cc(CO)ccc1O, Num Nodes: 11, Num Edges: 22
Index: 49, SMILES: Cc1ccc(CC(C)C=O)cc1, Num Nodes: 12, Num Edges: 24
Index: 50, SMILES: CC=C(C)C(=O)OCc1ccccc1, Num Nodes: 14, Num Edges: 28
Index: 51, SMILES: CC=CC(=O)C1=C(C)C=CCC1(C)C, Num Nodes: 14, Num Edges: 28
Index: 52, SMILES: CCCCCC(O)CC, Num Nodes: 9, Num Edges: 16
Index: 53, SMILES: CCC=CCCC1CCC(=O)O1, Num Nodes: 12, Num Edges: 24
Index: 54, SMILES: CCCCCCC=CC(=O)OC, Num Nodes: 12, Num Edges: 22
Index: 55, SMILES: CCCCCC=CCCC(=O)OCC, Num Nodes: 14, Num Edges: 26
Index: 56, SMILES: CCCCCCCC(=O)OCCc1ccccc1, Num Nodes: 18, Num Edges: 36
Index: 57, SMILES: CCCCC1OC(=O)CC1C, Num Nodes: 11, Num Edges: 22
Index: 58, SMILES: Cc1nccnc1C, Num Nodes: 8, Num Edges: 16
Index: 59, SMILES: CCCCCCCCC(=O)OCC, Num Nodes: 13, Num Edges: 24
Index: 60, SMILES: CCC(C)C(=O)OC(C)C, Num Nodes: 10, Num Edges: 18
Index: 61, SMILES: CCCCOC(C)OCCCC, Num Nodes: 12, Num Edges: 22
Index: 62, SMILES: Cc1ccc(C=O)c(O)c1, Num Nodes: 10, Num Edges: 20
Index: 63, SMILES: c1ccc(CCCC2CCCO2)cc1, Num Nodes: 14, Num Edges: 30
Index: 64, SMILES: CCCCCCCC(=O)OCc1ccco1, Num Nodes: 16, Num Edges: 32
Index: 65, SMILES: CC(C)CC(=O)OC1CC2CCC1(C)C2(C)C, Num Nodes: 17, Num Edges: 36
Index: 66, SMILES: CCOCc1ccc(O)c(OC)c1, Num Nodes: 13, Num Edges: 26
Index: 67, SMILES: CC12CCC(C1)C(C)(C)C2O, Num Nodes: 11, Num Edges: 24
Index: 68, SMILES: CCC=CC=CC(C)=O, Num Nodes: 9, Num Edges: 16
Index: 69, SMILES: C=C(C)C1CCC(C)CC1O, Num Nodes: 11, Num Edges: 22
Index: 70, SMILES: CC1=CC(=O)CC(C)(C)C1, Num Nodes: 10, Num Edges: 20
Index: 71, SMILES: CCCCCCC1(C)CCC(=O)O1, Num Nodes: 13, Num Edges: 26
Index: 72, SMILES: CCCCCCCCCCCC(C)=O, Num Nodes: 14, Num Edges: 26
Index: 73, SMILES: Cc1ccco1, Num Nodes: 6, Num Edges: 12
Index: 74, SMILES: CC(C)CC(=O)OCC=Cc1ccccc1, Num Nodes: 16, Num Edges: 32
Index: 75, SMILES: CCCC=CCOC(=O)CCCC, Num Nodes: 13, Num Edges: 24
Index: 76, SMILES: CC=CC(=O)OCCCCCC, Num Nodes: 12, Num Edges: 22
Index: 77, SMILES: CC(C)CCOC=O, Num Nodes: 8, Num Edges: 14
Index: 78, SMILES: CCOC=O, Num Nodes: 5, Num Edges: 8
Index: 79, SMILES: C=CCOC(=O)CCCCCCC, Num Nodes: 13, Num Edges: 24
Index: 80, SMILES: CC(C)CC=O, Num Nodes: 6, Num Edges: 10
Index: 81, SMILES: CCCCSCCCC, Num Nodes: 9, Num Edges: 16
Index: 82, SMILES: CC(=O)C=CC=C(C)C, Num Nodes: 9, Num Edges: 16
Index: 83, SMILES: COc1cnccn1, Num Nodes: 8, Num Edges: 16
Index: 84, SMILES: CC1CCCC(=O)O1, Num Nodes: 8, Num Edges: 16
Index: 85, SMILES: CCCCCC(=O)OCCCC, Num Nodes: 12, Num Edges: 22
Index: 86, SMILES: CC(C)C(=O)OCC=Cc1ccccc1, Num Nodes: 15, Num Edges: 30
Index: 87, SMILES: CCCCCCC(C)O, Num Nodes: 9, Num Edges: 16
Index: 88, SMILES: CC(=O)c1ccc(C)o1, Num Nodes: 9, Num Edges: 18
Index: 89, SMILES: Cc1cnccn1, Num Nodes: 7, Num Edges: 14
Index: 90, SMILES: CCCCC1CCC(=O)O1, Num Nodes: 10, Num Edges: 20
Index: 91, SMILES: CC(=O)CCC=C(C)C, Num Nodes: 9, Num Edges: 16
Index: 92, SMILES: CCC1N=C(C)C(C)S1, Num Nodes: 9, Num Edges: 18
Index: 93, SMILES: CCOC(=O)CC(C)C, Num Nodes: 9, Num Edges: 16
Index: 94, SMILES: CCCC(O)CC(=O)OCC, Num Nodes: 11, Num Edges: 20
Index: 95, SMILES: CCC(C)COC(=O)CC(C)C, Num Nodes: 12, Num Edges: 22
Index: 96, SMILES: Cc1csc(C(C)C)n1, Num Nodes: 9, Num Edges: 18
Index: 97, SMILES: CCCCCC1OC(=O)CC1C, Num Nodes: 12, Num Edges: 24
Index: 98, SMILES: CC1=CCCC(C)(C)C12CCC(C)O2, Num Nodes: 14, Num Edges: 30
Index: 99, SMILES: CCOC(=O)CCc1ccco1, Num Nodes: 12, Num Edges: 24
Index: 100, SMILES: CC=CC(=O)OCC, Num Nodes: 8, Num Edges: 14
Index: 101, SMILES: CC(C)CCOC(=O)C(C)C, Num Nodes: 11, Num Edges: 20
Index: 102, SMILES: CCc1ncc(C)nc1CC, Num Nodes: 11, Num Edges: 22
Index: 103, SMILES: CCCCCCCC(=O)OC(C)C, Num Nodes: 13, Num Edges: 24
