Label	Precision	Recall
vegetal	0.6510	0.8990
fruite	0.6004	0.9423
frais	0.6055	0.9026
vegetal_vert	0.5642	0.8969
doux	0.4613	0.9528
gras	0.4322	0.9402
floral	0.4488	0.9179
boise	0.4521	0.8181
vert	0.3531	0.9298
aldehyde	0.2803	0.9081
chimique	0.2204	0.9833
empyreumatique	0.3611	0.8154
balsamique	0.2047	0.9848
aldehyde_frais	0.2289	0.9193
fruit_exotique	0.2162	0.9278
herbe	0.2078	0.9204
legume	0.2347	0.8678
fermentaire	0.1716	0.9330
phenole	0.2420	0.8631
epice	0.1910	0.8197
fleur_d_arbuste	0.1899	0.9367
cuit	0.2288	0.8021
terreux	0.1359	0.9683
fruit_sec	0.1533	0.9025
fleur_du_jardin	0.1627	0.9432
agrume	0.1784	0.9251
oleagineux	0.1505	0.9015
lactique	0.1435	0.9401
soufre	0.4073	0.8414
plante_aromatique	0.1654	0.6868
animal	0.1173	0.7815
fruit_a_coque	0.1542	0.8340
moisi	0.0962	0.9572
fruit_a_pepins	0.1344	0.9524
torrefie	0.1862	0.8678
medicinal	0.1472	0.8880
vegetal_sec	0.0900	0.9518
rose	0.1248	0.9196
huile	0.1103	0.9050
lactone	0.0939	0.9273
menthe	0.2127	0.7773
bois	0.2129	0.7416
creme	0.0785	0.9505
boissons_alcoolisees	0.0916	0.9385
sucre_cuit	0.0960	0.9000
baie	0.0690	0.9401
poudre	0.1055	0.8720
viande_cuite	0.1703	0.8052
pomme	0.1011	0.9868
malte	0.1071	0.8867
mielle	0.0935	0.8357
solvant	0.0846	0.9015
ananas	0.0761	0.9457
fruit_rouge	0.0537	0.9766
coumarine	0.0562	0.9360
caramel	0.0908	0.8800
mineral	0.0538	0.9274
resineux	0.1557	0.8226
alliace	0.3122	0.9516
fruit_a_noyau	0.0615	0.9431
metal	0.0533	0.9174
metallique	0.0516	0.9328
peponide	0.0613	0.9091
melon	0.0613	0.9083
brule	0.0967	0.9065
feuille	0.0464	0.9524
alcool_de_fut	0.0663	0.9231
ether	0.0718	0.9109
boisson_fermentee	0.0484	0.9700
camphre	0.1180	0.8600
miel	0.0600	0.8041
citronne	0.0577	0.9375
racine	0.0346	0.9583
oignon	0.2452	0.9474
crucifere	0.0742	0.8298
lacte	0.0396	0.9140
fleur_d_arbre	0.0552	0.8172
vin	0.0497	0.9565
fromage	0.0606	0.9326
poire	0.0613	0.9659
banane	0.0585	0.9651
champignon	0.0391	0.9070
cafe	0.0872	0.9176
cacao	0.0551	0.9286
musque	0.1644	0.7595
savon	0.0449	0.8961
beurre	0.0443	0.9474
noix_de_coco	0.0404	0.9467
anise	0.0394	0.8767
pin	0.1102	0.9041
vanille	0.0639	0.9028
jasmin	0.0423	0.9583
ambre	0.0873	0.8592
ail	0.1846	0.9853
musc	0.1682	0.8209
cereale	0.0662	0.8806
peche	0.0366	0.9697
cerise	0.0328	0.9545
violette	0.0377	0.9667
rhum	0.0385	0.9500

Mean Precision: 0.1544
