Descriptor	F1	AUROC	Support
onion	0.5276	0.9720	4009
garlic	0.4947	0.9716	2712
alliaceous	0.5851	0.9682	5709
sulphurous	0.6968	0.9666	9040
odorless	0.7010	0.9569	4520
sulphur	0.6175	0.9483	7571
vanilla	0.4843	0.9442	2486
alcohol	0.5430	0.9395	2540
banana	0.4153	0.9379	2938
smoked	0.3151	0.9338	1636
smoky	0.3145	0.9323	1636
ethereal	0.5350	0.9302	6618
cognac	0.3563	0.9294	2599
coffee	0.2927	0.9292	2594
musk	0.5502	0.9279	2260
musky	0.5591	0.9269	2260
meaty	0.4790	0.9236	6839
solvent	0.5643	0.9230	8023
camphor	0.3599	0.9186	2938
pine	0.2586	0.9158	1808
wood	0.3539	0.9153	3444
pear	0.3412	0.9119	2938
lemon	0.2367	0.9091	1862
lemony	0.3302	0.9073	2373
resinous	0.3025	0.9067	2825
potato	0.1115	0.9066	1243
roasted	0.4970	0.9032	9841
lily	0.1527	0.8980	1582
vegetable	0.5552	0.8976	13265
caramel	0.4557	0.8972	5370
cooked sugar	0.4526	0.8970	5370
cruciferous	0.3072	0.8968	2147
winey	0.3448	0.8961	5085
fermented drink	0.3423	0.8957	5085
savory	0.2798	0.8951	2938
apple	0.4098	0.8943	7006
cinnamon	0.2460	0.8938	1523
coconut	0.3842	0.8910	2142
muguet	0.1485	0.8886	1243
burnt	0.3304	0.8875	4289
waxy	0.4948	0.8849	11074
alcoholic beverages	0.4345	0.8848	8485
almond	0.2321	0.8833	2034
empyreumatic	0.5503	0.8831	18645
bitter almond	0.2252	0.8822	2034
fruit with pip	0.4520	0.8810	10573
amber	0.3430	0.8775	2260
butter	0.3112	0.8769	3164
cheese	0.3551	0.8722	4407
pungent	0.2764	0.8715	4520
chocolate	0.1517	0.8714	1582
coumarin	0.3568	0.8696	2820
pineapple	0.3462	0.8685	4692
tropical fruit	0.4248	0.8679	8799
violet	0.1723	0.8674	1528
nutty	0.4650	0.8611	9895
cooked	0.3869	0.8611	7232
barrel aged alcohol	0.3053	0.8601	4476
medicinal	0.4116	0.8593	8588
malt	0.3069	0.8591	3670
hyacinth	0.1440	0.8576	1356
mint	0.3978	0.8572	7060
cocoa	0.3092	0.8564	3670
oleaginous	0.4856	0.8556	11580
cherry	0.2084	0.8553	1867
dried fruit	0.4857	0.8545	11580
melon	0.3038	0.8528	3051
grapefruit	0.2339	0.8523	1695
phenolic	0.4680	0.8520	13614
peponide	0.3023	0.8519	3051
peach	0.2958	0.8463	2147
aromatic	0.0199	0.8410	1695
fishy	0.2838	0.8405	1808
sharp	0.1172	0.8384	2373
anisic	0.2064	0.8383	1921
cooling	0.2435	0.8365	1980
citrus	0.4148	0.8351	11074
sour	0.2772	0.8351	1582
tobacco	0.1264	0.8345	2319
apricot	0.0209	0.8291	1808
rummy	0.1656	0.8286	2211
jasmin	0.2331	0.8286	2432
clean	0.0110	0.8264	2147
aromatic plant	0.3310	0.8263	6043
stone fruit	0.2300	0.8214	4122
rose	0.3093	0.8185	7861
orris	0.1312	0.8140	1356
aldehydic	0.3452	0.8121	6800
grape	0.2479	0.8104	2034
animal	0.3548	0.8082	5930
chemical	0.4551	0.8078	19996
orange	0.1162	0.8073	2260
garden flower	0.2895	0.8040	7964
ripe	0.1544	0.8038	1921
bush flower	0.3127	0.8034	9094
lactone	0.3502	0.8031	6274
plum	0.0071	0.8030	1356
fresh aldehydic	0.2168	0.8026	2486
powdery	0.1439	0.8021	3842
tropical	0.3724	0.8003	9403
hay	0.1288	0.7982	1695
floral	0.5663	0.7948	34863
honeyed	0.2843	0.7946	3557
oily	0.3627	0.7940	8814
honey	0.2862	0.7938	3557
fatty	0.5280	0.7930	32264
fruity	0.7247	0.7912	60332
mushroom	0.1078	0.7883	2481
balsamic	0.4088	0.7824	17014
geranium	0.0722	0.7818	1356
fresh	0.6647	0.7817	51818
spicy	0.3455	0.7807	11074
dairy	0.3627	0.7769	12484
dry vegetal	0.2882	0.7746	7227
fermented	0.4135	0.7742	16989
woody	0.5213	0.7726	31188
green	0.5209	0.7718	32716
red berry	0.1013	0.7593	3783
milky	0.1214	0.7559	3503
bitter	0.0411	0.7552	1469
grass.1	0.3818	0.7522	17063
green vegetal	0.5884	0.7522	41736
cream	0.2056	0.7425	4412
grass	0.0218	0.7373	1528
vegetal	0.6834	0.7358	54903
leafy	0.0715	0.7343	3164
sweet	0.6084	0.7331	45765
berry	0.0799	0.7320	4407
dry	0.1446	0.7277	3729
warm	0.0009	0.7240	2255
metal	0.0133	0.7233	3051
mineral	0.0109	0.7209	3051
metallic	0.0126	0.7181	3051
earthy	0.2582	0.7141	9605
natural	0.0000	0.7133	1749
cortex	0.0000	0.7128	1297
tea	0.0000	0.7041	1297
musty	0.1605	0.6940	6441
