Label,Precision,Recall,F1,AUROC
fruity,0.705470737913486,0.8338345864661654,0.7643004824259132,0.8191351525436326
vegetal,0.65,0.7456359102244389,0.6945412311265969,0.7789815791121253
fresh,0.6557377049180327,0.7387862796833773,0.6947890818858561,0.7956251535387517
sweet,0.6180860403863038,0.697029702970297,0.6551884597487203,0.7715636980907998
green vegetal,0.6006066734074823,0.649890590809628,0.6242774566473989,0.789978655139547
floral,0.6480891719745223,0.5278858625162127,0.581844174410293,0.8180039546943889
green,0.6157337367624811,0.5629322268326418,0.588150289017341,0.8150211570406118
fatty,0.6044776119402985,0.5720338983050848,0.5878084179970973,0.8056940290240389
woody,0.6630630630630631,0.5333333333333333,0.5911646586345382,0.8078002126229228
chemical,0.5953177257525084,0.3912087912087912,0.47214854111405835,0.8320359391685385
empyreumatic,0.6894586894586895,0.587378640776699,0.6343381389252949,0.8922270897466257
grass.1,0.5675675675675675,0.16666666666666666,0.25766871165644173,0.7618925481344687
balsamic,0.5411764705882353,0.3699731903485255,0.4394904458598726,0.8201030399502087
fermented,0.5621301775147929,0.25885558583106266,0.35447761194029853,0.7759371882662315
phenolic,0.6085106382978723,0.4782608695652174,0.5355805243445693,0.8823770400220483
vegetable,0.6192307692307693,0.5609756097560976,0.5886654478976234,0.8947154728842055
dairy,0.6183206106870229,0.29454545454545455,0.39901477832512317,0.8107023518570455
oleaginous,0.5121951219512195,0.42338709677419356,0.46357615894039733,0.8412746220636168
dried fruit,0.5255102040816326,0.4153225806451613,0.46396396396396394,0.8407670773856355
citrus,0.6259541984732825,0.3346938775510204,0.43617021276595747,0.8666279038801253
waxy,0.5487179487179488,0.4385245901639344,0.4874715261958998,0.8801826443335709
spicy,0.5352112676056338,0.1557377049180328,0.24126984126984127,0.8078243050605844
fruit with pip,0.5660377358490566,0.5286343612334802,0.5466970387243736,0.9167520662256945
nutty,0.5408805031446541,0.4,0.45989304812834225,0.8337024573876402
earthy,0.5238095238095238,0.051643192488262914,0.09401709401709402,0.7545624094919869
roasted,0.5806451612903226,0.42452830188679247,0.4904632152588556,0.9056806045503091
sulphurous,0.748792270531401,0.7711442786069652,0.7598039215686274,0.9805815141110495
bush flower,0.6197183098591549,0.22110552763819097,0.32592592592592595,0.8710257042140339
oily,0.5614035087719298,0.16494845360824742,0.2549800796812749,0.8221287563062075
tropical,0.5483870967741935,0.17616580310880828,0.26666666666666666,0.8323224821099169
medicinal,0.5564516129032258,0.3670212765957447,0.4423076923076923,0.9073032185818011
tropical fruit,0.5576923076923077,0.46524064171123,0.5072886297376094,0.9086280711227678
alcoholic beverages,0.4405594405594406,0.3442622950819672,0.38650306748466257,0.900256444083386
solvent,0.7083333333333334,0.480225988700565,0.5723905723905723,0.8948727679796832
garden flower,0.42857142857142855,0.06818181818181818,0.11764705882352941,0.8248018082002456
sulphur,0.6857142857142857,0.5748502994011976,0.6254071661237784,0.9486546469534638
rose,0.7555555555555555,0.20481927710843373,0.3222748815165877,0.8872635200178342
cooked,0.5921052631578947,0.2830188679245283,0.3829787234042553,0.8790026765818864
apple,0.5317460317460317,0.43790849673202614,0.48028673835125446,0.9303788990850766
mint,0.5739130434782609,0.44,0.4981132075471698,0.8967557783347256
dry vegetal,0.5263157894736842,0.20134228187919462,0.2912621359223301,0.7984559555001332
meaty,0.6185567010309279,0.40268456375838924,0.4878048780487805,0.9266340670580488
ethereal,0.5922330097087378,0.42657342657342656,0.4959349593495935,0.9001406756508797
musty,1.0,0.0,0.0,0.7063825387440548
aldehydic,0.4666666666666667,0.15217391304347827,0.22950819672131148,0.8500849325960461
lactone,0.6808510638297872,0.23529411764705882,0.34972677595628415,0.8653736930818838
aromatic plant,0.48148148148148145,0.312,0.3786407766990291,0.8660801984291029
animal,0.6666666666666666,0.24615384615384617,0.3595505617977528,0.7703046332292397
alliaceous,0.6756756756756757,0.5952380952380952,0.6329113924050633,0.9741850145075951
cooked sugar,0.6216216216216216,0.39316239316239315,0.4816753926701571,0.915121549237742
caramel,0.6338028169014085,0.38461538461538464,0.4787234042553192,0.9167872826710899
winey,0.4444444444444444,0.14545454545454545,0.2191780821917808,0.896349069993277
fermented drink,0.37037037037037035,0.09090909090909091,0.145985401459854,0.8948812280570703
pineapple,0.625,0.29411764705882354,0.4,0.9318221965280788
odorless,0.7702702702702703,0.57,0.6551724137931034,0.9434165302782325
pungent,0.8125,0.13131313131313133,0.22608695652173913,0.8566028381979304
berry,1.0,0.020833333333333332,0.04081632653061224,0.8017854711328977
cream,0.6666666666666666,0.021052631578947368,0.04081632653061224,0.8002020158603942
cheese,0.8666666666666667,0.27956989247311825,0.42276422764227645,0.9140267523021106
burnt,0.3333333333333333,0.03225806451612903,0.058823529411764705,0.8848571792070825
barrel aged alcohol,0.4883720930232558,0.22340425531914893,0.30656934306569344,0.9058575770733825
stone fruit,0.25,0.010416666666666666,0.02,0.8303206699346405
onion,0.6,0.4431818181818182,0.5098039215686274,0.9714243411311816
powdery,1.0,0.0,0.0,0.8734514130855594
dry,1.0,0.0,0.0,0.758810944713433
red berry,1.0,0.0,0.0,0.8181579520912999
cocoa,0.40384615384615385,0.2625,0.3181818181818182,0.8803267045454545
malt,0.38596491228070173,0.275,0.32116788321167883,0.8739346590909091
honey,0.6666666666666666,0.07692307692307693,0.13793103448275862,0.861293072971905
honeyed,0.6,0.038461538461538464,0.07228915662650602,0.8602480919999168
milky,1.0,0.0,0.0,0.7553419422085819
wood,0.5142857142857142,0.23684210526315788,0.32432432432432434,0.9596679604196878
leafy,1.0,0.0,0.0,0.7948608384339994
butter,0.625,0.07246376811594203,0.12987012987012986,0.8985273020055629
mineral,1.0,0.0,0.0,0.733819798865985
metallic,1.0,0.0,0.0,0.7046439180761513
metal,1.0,0.0,0.0,0.7111696262329853
camphor,0.5609756097560976,0.3484848484848485,0.42990654205607476,0.9344412649497396
melon,0.4,0.09090909090909091,0.14814814814814814,0.8846699439919778
peponide,0.4,0.09090909090909091,0.14814814814814814,0.8829762516203195
pear,0.5714285714285714,0.12307692307692308,0.20253164556962025,0.9354764638346728
banana,0.5333333333333333,0.125,0.20253164556962025,0.9338142641129032
savory,0.0,0.0,0.0,0.9045299899193548
coumarin,0.5666666666666667,0.2786885245901639,0.37362637362637363,0.9277777410984861
garlic,0.6086956521739131,0.4666666666666667,0.5283018867924528,0.977482555018787
resinous,0.45454545454545453,0.1694915254237288,0.24691358024691357,0.9593288544828292
cognac,0.48484848484848486,0.2857142857142857,0.3595505617977528,0.949008813734497
vanilla,0.7027027027027027,0.4642857142857143,0.5591397849462365,0.9418781580156179
coffee,0.5714285714285714,0.07272727272727272,0.12903225806451613,0.9293180905073232
fresh aldehydic,0.3333333333333333,0.14814814814814814,0.20512820512820512,0.7980663394318013
lemony,0.4,0.037037037037037035,0.06779661016949153,0.9155139074817789
alcohol,0.6590909090909091,0.5576923076923077,0.6041666666666666,0.9796425484627732
sharp,1.0,0.0,0.0,0.7540128410914928
jasmin,0.5,0.019230769230769232,0.037037037037037035,0.8339841338436844
tobacco,1.0,0.0,0.0,0.840478830922662
amber,0.375,0.23529411764705882,0.2891566265060241,0.893898995619106
mushroom,1.0,0.0,0.0,0.7873256717516666
musk,0.7428571428571429,0.5306122448979592,0.6190476190476191,0.880176679890393
musky,0.725,0.5918367346938775,0.651685393258427,0.8834158112142653
orange,1.0,0.0,0.0,0.8798699439695717
clean,1.0,0.0,0.0,0.8015295897918286
warm,1.0,0.0,0.0,0.7532385149572649
peach,1.0,0.0,0.0,0.8364549946581197
cruciferous,0.8333333333333334,0.10638297872340426,0.18867924528301888,0.8937533550899377
coconut,0.5454545454545454,0.2608695652173913,0.35294117647058826,0.923303860479688
grape,1.0,0.15217391304347827,0.2641509433962264,0.8427698680683677
rummy,0.3333333333333333,0.044444444444444446,0.0784313725490196,0.8808545640478413
ripe,1.0,0.0,0.0,0.8627090909090909
almond,0.3333333333333333,0.045454545454545456,0.08,0.8779363636363637
anisic,1.0,0.0,0.0,0.8786181818181817
bitter almond,0.6666666666666666,0.045454545454545456,0.0851063829787234,0.8729727272727272
cherry,1.0,0.0,0.0,0.8736345653508473
cooling,1.0,0.024390243902439025,0.047619047619047616,0.875154692417879
lemon,1.0,0.0,0.0,0.8978688987848727
pine,0.7,0.1794871794871795,0.2857142857142857,0.9565279697016225
fishy,0.9090909090909091,0.2564102564102564,0.4,0.8405343159834178
apricot,1.0,0.0,0.0,0.8858078714366139
natural,1.0,0.0,0.0,0.7467219407339167
aromatic,1.0,0.0,0.0,0.7519952114924182
grapefruit,1.0,0.0,0.0,0.8808094093295529
hay,1.0,0.0,0.0,0.7951573432227602
smoked,0.5714285714285714,0.1111111111111111,0.18604651162790697,0.9224038631933369
smoky,0.625,0.1388888888888889,0.22727272727272727,0.9189150274676591
sour,1.0,0.0,0.0,0.8098639907850433
lily,0.0,0.0,0.0,0.8620964527700278
chocolate,0.0,0.0,0.0,0.82951722521678
cinnamon,1.0,0.0,0.0,0.9249604769318029
violet,1.0,0.0,0.0,0.8766638910008087
grass,1.0,0.0,0.0,0.7022915007961783
bitter,1.0,0.0,0.0,0.7821830214968153
plum,1.0,0.0,0.0,0.7731281208682592
geranium,1.0,0.0,0.0,0.90764155424053
orris,1.0,0.0,0.0,0.8177141341819145
hyacinth,1.0,0.0,0.0,0.9083978885308837
muguet,1.0,0.0,0.0,0.8999829661594367
potato,1.0,0.0,0.0,0.9405377015671132
cortex,1.0,0.0,0.0,0.7204178968884851
tea,1.0,0.0,0.0,0.7104460027254145
