Label	Optimal Threshold
vegetal	0.3908
fruite	0.3823
frais	0.4112
vegetal_vert	0.5151
doux	0.4915
gras	0.4302
floral	0.5775
boise	0.4883
vert	0.5343
aldehyde	0.5948
chimique	0.5138
empyreumatique	0.5465
balsamique	0.6093
aldehyde_frais	0.6175
fruit_exotique	0.6395
herbe	0.5943
legume	0.5288
fermentaire	0.5474
phenole	0.7177
epice	0.5714
fleur_d_arbuste	0.4796
cuit	0.5762
terreux	0.5693
fruit_sec	0.6825
fleur_du_jardin	0.6179
agrume	0.6766
oleagineux	0.6297
lactique	0.6833
soufre	0.5388
plante_aromatique	0.6308
animal	0.8453
fruit_a_coque	0.6005
moisi	0.6251
fruit_a_pepins	0.8569
torrefie	0.5849
medicinal	0.8109
vegetal_sec	0.6129
rose	0.5853
huile	0.7563
lactone	0.7262
menthe	0.7526
bois	0.7846
creme	0.7320
boissons_alcoolisees	0.8109
sucre_cuit	0.7394
baie	0.6844
poudre	0.6508
viande_cuite	0.6068
pomme	0.9042
malte	0.7300
mielle	0.6770
solvant	0.9201
ananas	0.9016
fruit_rouge	0.7122
coumarine	0.6966
caramel	0.7845
mineral	0.5366
resineux	0.8420
alliace	0.7719
fruit_a_noyau	0.7642
metal	0.5431
metallique	0.5572
peponide	0.8611
melon	0.8621
brule	0.7833
feuille	0.7172
alcool_de_fut	0.8456
ether	0.9229
boisson_fermentee	0.8016
camphre	0.8937
miel	0.7471
citronne	0.6358
racine	0.6338
oignon	0.7392
crucifere	0.7644
lacte	0.7976
fleur_d_arbre	0.7709
vin	0.8127
fromage	0.7737
poire	0.9215
banane	0.9174
champignon	0.6323
cafe	0.8125
cacao	0.8268
musque	0.9205
savon	0.7559
beurre	0.7677
noix_de_coco	0.9254
anise	0.7967
pin	0.8935
vanille	0.8974
jasmin	0.7695
ambre	0.9626
ail	0.8983
musc	0.9392
cereale	0.7925
peche	0.8519
cerise	0.8568
violette	0.8682
rhum	0.8685
